Year,Common #,Indi. #,Risk factor,Formation,Type,Journal,Short reference,Full reference,Link without href,Predictability.in.OP,Coverage,New Journal,notes
2012,NA,165,Stock skewness,Ex ante stock risk-neutral skewness implied by option prices,Individual financial,Journal of Finance,"Conrad, Dittmar and Ghysels (2012)","Conrad, Jennifer, Robert F. Dittmar and Eric Ghysels, 2012, ``Ex ante skewness and expected stock returns"", Journal of Finance 68, 85-124.",http://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.2012.01795.x/pdf,1_clear,similar,NA,NA
2012,NA,190,Expected return proxy,Logistic transformation of the fit (R^2) from a regression of returns on past prices,Individual financial,Journal of Financial Economics,"Burlacu, Fontaine, Jimenez-Garces and Seasholes (2012)","Burlacu, Radu, Patrice Fontaine, Sonia Jimenez-Garces and Mark S. Seasholes, 2012, ``Risk and the cross section of stock returns"", Journal of Financial Economics 105, 511-522.",http://www.sciencedirect.com/science/article/pii/S0304405X12000451,1_clear,similar,NA,NA
2004,40,NA,Default risk,Firm default likelihood using Merton's option pricing model,Common financial,Journal of Finance,Vassalou and Xing (2004),"Vassalou, Maria and Yuhang Xing, 2004, ``Default risk in equity returns"", Journal of Finance 2004, 831-868.",http://www.jstor.org/stable/pdfplus/3694915.pdf,1_clear,similar,NA,"very weak (t.stat of 1.96 in quintiles, table III)"
NA,69,NA,Long-run market volatility,Low frequency volatility extracted from a time-series model of market returns,Common financial,Journal of Finance,Adrian and Rosenberg (2008),"Adrian, Tobias and Joshua Rosenberg, 2008, ``Stock returns and volatility: Pricing the short-run and long-run components of market risk"", Journal of Finance 63, 2997-3030.",http://www.jstor.org/stable/pdfplus/20487956.pdf,1_clear,similar,NA,NA
2004,NA,NA,Market return,Equity index return,Common financial,Review of Financial Studies,Vanden (2004),"Vanden, Joel M., 2004, ``Options trading and the CAPM"", Review of Financial Studies 17, 207-238.",http://www.jstor.org/stable/pdfplus/1262673.pdf,1_clear,similar,NA,NA
2011,NA,NA,Predicted earnings increase score,Predicted earnings increase score based on financial statement information,Individual accounting,Review of Accounting Studies,Wahlen and Wieland (2011),"Wahlen, James and Matthew Wieland, 2011, Can financial statement analysis beat consensus analysts' recommendations? Review of Accounting Studies 16, 89-115.",http://link.springer.com/content/pdf/10.1007%2Fs11142-010-9124-5.pdf,1_clear,similar,NA,NA
2008,68,NA,Short-run market volatility,High frequency volatility extracted from a time-series model of market returns,Common financial,Journal of Finance,Adrian and Rosenberg (2008),"Adrian, Tobias and Joshua Rosenberg, 2008, ``Stock returns and volatility: Pricing the short-run and long-run components of market risk"", Journal of Finance 63, 2997-3030.",http://www.jstor.org/stable/pdfplus/20487956.pdf,1_clear,similar,NA,NA
2002,NA,50,Earnings sustainability,A summary score based on firm fundamentals that informs about the sustainability of earning,Individual accounting,Working Paper,Penman and Zhang (2002),"Penman, Stephen and Xiao-jun Zhang, 2002, Modeling sustainable earings and P/E ratios with financial statement analysis, Working Paper, Columbia University.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=318967&download=yes,1_clear,zz missing,WP,NA
2005,NA,70,Adjusted R&D,Adjusted R&D that incorporates capitalization and amortization,Individual accounting,Working Paper,"Lev, Nissim and Thomas (2005)","Lev, Baruch, Doron Nissim and Jacob Thomas, 2005, On the informational usefulness of R&D capitalization and amortization, Working Paper, Columbia University.",http://accounting.rutgers.edu/docs/intangibles/Papers/On%20the%20informational%20usefulness%20of%20RD%20capitalization%20and%20amortization.pdf,1_clear,zz missing,Paper Collection,"Similar to OrgCap, but not close enough to claim it's really similar."
2006,NA,84,Forecasted earnings per share,Analysts' forecasted earnings per share,Individual accounting,Working Paper,"Cen, Wei and Zhang (2006)","Cen, Ling, John Wei and Jie Zhang, 2006, Forecasted earnings per share and the cross section of expected stock returns, Working Paper, Hong Kong University of Science & Technology.",HKUST working paper,1_clear,done!,WP,NA
2006,NA,86,Acceleration,Firm's ranking on change in six-month momentum relative to the cross-section of other firms,Individual financial,Working Paper,Gettleman and Marks (2006),"Gettleman, Eric and Joseph Marks, 2006, Acceleration strategies, Working Paper, Seton Hall Univeristy.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=802724&download=yes,1_clear,zz missing,WP,see GHZ chmom
2007,NA,90,Change in order backlog,Change in order backlog,Individual accounting,Seoul Journal of Business,Baik and Ahn (2007),"Baik, Bok and Tae Sik Ahn, 2007, Changes in order backlog and future returns, Seoul Journal of Business 13, 105-126.",http://s-space.snu.ac.kr/bitstream/10371/1814/1/sjbv13n2_105.pdf,1_clear,done!,NA,NA
2007,NA,92,Insider forecasts of firm volatility,Future firm volatility obtained from executive stock options,Individual financial,Working Paper,"James, Fodor and Peterson (2007)","Doran, James, Andy Fodor and David Peterson, 2007, Insiders versus outsiders with employee stock options: Who knows best about future firm risk and implications for stock returns, Working Paper, Florida State University.","
http://papers.ssrn.com/sol3/papers.cfm?abstract_id=963405&download=yes",z3_harddata,zz missing,WP,combines execucomp and options
2008,NA,105,Information in order backlog,Changes in order backlog on future profitability,Individual accounting,Working Paper,"Gu, Wang and Ye (2008)","Gu, Li, Zhiqiang Wang and Jianming Ye, 2008, Information in order backlog: change versus level, Working Paper, Fordham University.",http://69.175.2.130/~finman/Turin/Papers/Informationinorderbacklogchangeversuslevel.pdf,1_clear,done!,WP,maybe we shoudl add it.  Another missing WP does the same thing
2009,NA,120,Cash flow volatility,Rolling standard deviation of the standardized cashflow over the past sixteen quarters,Individual accounting,Journal of Empirical Finance,Huang (2009),"Huang, Alan Guoming, 2009, The cross section of cashflow volatility and expected stock returns, Journal of Empirical Finance 16, 409-429.",http://www.sciencedirect.com/science/article/pii/S0927539809000036,1_clear,zz missing,NA,Predictors are vol of CF/Sale and CF/BE using quarterly data.  Maybe we should try this.
2010,NA,132,Long-run idiosyncratic volatility,Long-run idiosyncratic volatility filtered from idiosyncratic volatility using HP filters,Individual financial,Working Paper,Cao and Xu (2010),"Cao, Xuying and Yexiao Xu, 2010, Long-run idiosyncratic volatilities and cross-sectional stock returns, Working Paper, University of Illinois at Urbana-Champaign.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1569945,1_clear,zz missing,WP,"Tab 3 IV WM HPF shows regression is highly significant.  Interesting paper, but difficult to construct."
2010,NA,135,Earnings distributed to equity holders,Earnings distributed to equity holders,Individual accounting,Review of Accounting & Finance,"Papanastasopoulos, Thomakos and Wang (2010)","Papanastasopoulos, Georgios, Dimitrios Thomakos and Tao Wang, 2010, The implications of retained and distributed earnings for future profitability and stock returns, Review of Accounting & Finance 9, 395-423.",http://www.emeraldinsight.com/journals.htm?articleid=1892066&show=abstract,1_clear,similar,NA,"Called RE in paper, but they divide by total assets.  This seems to be a variant of accruals"
2010,NA,136,Net cash distributed to equity holders,Dividends minus stock issues,Individual accounting,Review of Accounting & Finance,"Papanastasopoulos, Thomakos and Wang (2010)","Papanastasopoulos, Georgios, Dimitrios Thomakos and Tao Wang, 2010, The implications of retained and distributed earnings for future profitability and stock returns, Review of Accounting & Finance 9, 395-423.",http://www.emeraldinsight.com/journals.htm?articleid=1892066&show=abstract,1_clear,similar,NA,See table I DIST_E.  This is basically cash flow / total assets
2011,NA,144,Volatility of liquidity,Measured by the price impact of trade as in Amihud (2002),Individual microstructure,Working Paper,"Akbas, Armstrong and Petkova (2011)","Akbas, Ferhat, Will J. Armstrong and Ralitsa Petkova, 2011,``The Volatility of Liquidity and Expected Stock Returns"", Working Paper.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1786991,1_clear,zz missing,WP,"results look quite nice, perhaps we should add this"
2011,NA,149,Accrual volatility,Firm accrual volatility measured by the standard deviation of the ratio of accruals to sales,Individual accounting,Working Paper,"Bandyopadhyay, Huang and Wirjanto (2011)","Bandyopadhyay, Sati, Alan Huang and Tony Wirjanto, 2010, The accrual volatility anomaly, Working Paper, University of Waterloo.",arts.uwaterloo.ca/~aghuang/research/ava.pdf‎,1_clear,zz missing,WP,"results look quite nice, perhaps we should add this"
2011,NA,154,Overreaction to nonfundamental price changes,"Overreaction to within-industry discount rate shocks as captured by decomposing the short-term reversal into across-industry return momentum, within-industry variation in expected returns, under-reaction to within-industry cash flow news and overreaction to within-industry discount rate news",Individual other,Working Paper,"Da, Liu and Schaumburg (2011)","Da, Zhi, Qianqiu Liu and Ernst Schaumburg, 2011, Decomposing short-term return reversal, Working Paper, University of Notre Dame.",http://papers.ssrn.com/sol3/Papers.cfm?abstract_id=1551025,1_clear,zz missing,MS,https://www3.nd.edu/~zda/Reversal.pdf
2011,NA,157,Firm productivity,"Firm level total factor productivity estimated from firm value added, employment and capital",Individual financial,Working Paper,Imrohoroglu and Tuzel (2011),"Imrohoroglu, Avse and Selale Tuzel, 2011, Firm level productivity, risk, and return, Working Paper, University of Southern California.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1770264&download=yes,1_clear,zz missing,MS,https://pubsonline.informs.org/doi/pdf/10.1287/mnsc.2013.1852
2011,NA,160,Asset growth,Yearly percentage change in total balance sheet assets,Individual accounting,Working Paper,Nyberg and Poyry (2011),"Nyberg, Peter and Salla Poyry, 2011, Firm expansion and stock price momentum, Working Paper, Aalto University.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1684767&download=yes,1_clear,done!,RoF,"same as asset growth (Cooper, Gulen Schill)"
2011,NA,162,Customer-base concentration,Annual change in customer-base concentration,Individual other,Working Paper,Patatoukas (2011),"Patatoukas, Panos, 2011, Customer-base concentration: implications for firm performance and capital markets, Working Paper, University of California Berkeley.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1666497&download=yes,no_evidence,zz missing,AR,ICC style paper
2012,NA,166,Expected return uncertainty,Proxied by the volatility of option-implied volatility,Individual financial,Working Paper,"Baltussen, Bekkum, Van Der Grient (2012)","Baltussen, Van Bekkum and Van Der Grient,  2012, ``Unknown unknowns: Vol-of-vol and the cross section of stock returns"", Working Paper.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2023066,1_clear,zz missing,JFQA,https://www.cambridge.org/core/journals/journal-of-financial-and-quantitative-analysis/article/unknown-unknowns-uncertainty-about-risk-and-stock-returns/6E0E98349D20C1DCF67F3A0452361B80
2012,NA,176,Change in call implied volatility,Change in call implied volatility,Individual financial,Working Paper,"Ang, Bali and Cakici (2012)","Ang, Andrew, Turan Bali and Nusret Cakici, 2012, The joint cross section of stocks and options, Working Paper, Columbia University.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2008902&download=yes,1_clear,zz missing,JF,Similar to smileSlope. Here it's changes in call and put volatility though (table II)
2012,NA,177,Change in put implied volatility,Change in put implied volatility,Individual financial,Working Paper,"Ang, Bali and Cakici (2012)","Ang, Andrew, Turan Bali and Nusret Cakici, 2012, The joint cross section of stocks and options, Working Paper, Columbia University.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2008902&download=yes,1_clear,zz missing,JF,Similar to smileSlope. Here it's changes in call and put volatility though (table II)
2012,NA,183,Abnormal operating cash flows,Abnormal operating cash flows,Individual accounting,Working Paper,Li (2012),"Li, Xi, 2012, Real earings management and subsequent stock returns, Working Paper, Boston College.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1679832&download=yes,1_clear,zz missing,WP,NA
2012,NA,184,Abnormal production costs,Abnormal production costs,Individual accounting,Working Paper,Li (2012),"Li, Xi, 2012, Real earings management and subsequent stock returns, Working Paper, Boston College.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1679832&download=yes,1_clear,zz missing,WP,NA
2012,NA,187,Earnings forecast optimism,Difference between characteristic forecasts and analyst forecasts,Individual accounting,Working Paper,So (2012),"So, Eric, 2012, A new approach to predicting analyst forecast errors: Do investors overweight analyst forecasts? Working Paper, Stanford University.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1714657&download=yes,1_clear,zz missing,JFE,https://www.sciencedirect.com/science/article/pii/S0304405X13000329
2012,NA,191,Fraud probability,Probability of manipulation based on accounting variables,Individual accounting,Financial Analysts Journal,"Beneish, Lee and Nichols (2013)","Beneish, Messod, Charles Lee and Craig Nichols, 2012, Fraud detection and expected returns, Financial Analysts Journal 2013.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1998387,1_clear,zz missing,FAJ,https://www.tandfonline.com/doi/abs/10.2469/faj.v69.n2.1
